Accuracy_train_epoch,Accuracy_train_step,Accuracy_valid_epoch,Accuracy_valid_step,Loss_train_epoch,Loss_train_step,Loss_valid_epoch,Loss_valid_step,epoch,step
,,,0.9531125426292419,,,,0.37945351004600525,,0
,,,0.9561592936515808,,,,0.38022860884666443,,1
,,,0.9143863320350647,,,,0.4189698398113251,,2
,,,0.9356839060783386,,,,0.3896446228027344,,3
,,,0.9282189011573792,,,,0.40236514806747437,,4
,,,0.10882568359375,,,,0.4727085530757904,,5
,,0.9173003435134888,,,,0.39604881405830383,,0,45
0.9085918664932251,,,,0.4488271474838257,,,,0,45
,,,0.9532046914100647,,,,0.33778420090675354,,6
,,,0.9542971253395081,,,,0.3401516377925873,,7
,,,0.9274279475212097,,,,0.36736443638801575,,8
,,,0.9427440166473389,,,,0.3413923680782318,,9
,,,0.9453137516975403,,,,0.35131049156188965,,10
,,,0.119873046875,,,,0.3714146316051483,,11
,,0.9244822859764099,,,,0.34818145632743835,,1,91
0.935870885848999,,,,0.3713217079639435,,,,1,91
,0.949360728263855,,,,0.34493210911750793,,,2,99
,,,0.9585135579109192,,,,0.28618577122688293,,12
,,,0.9662936329841614,,,,0.2720934748649597,,13
,,,0.9166595935821533,,,,0.3382171392440796,,14
,,,0.947297990322113,,,,0.29721757769584656,,15
,,,0.9467412233352661,,,,0.3019302785396576,,16
,,,0.11932373046875,,,,0.34465789794921875,,17
,,0.9269115328788757,,,,0.30023932456970215,,2,137
0.9456328749656677,,,,0.314306378364563,,,,2,137
,,,0.9598388671875,,,,0.24570928514003754,,18
,,,0.9669974446296692,,,,0.23816095292568207,,19
,,,0.9276110529899597,,,,0.29091930389404297,,20
,,,0.9375859498977661,,,,0.27281492948532104,,21
,,,0.94171142578125,,,,0.2831382155418396,,22
,,,0.11512725055217743,,,,0.313761830329895,,23
,,0.9264654517173767,,,,0.26730987429618835,,3,183
0.9486780166625977,,,,0.2740950286388397,,,,3,183
,0.9532109498977661,,,,0.2731155753135681,,,4,199
,,,0.9680848121643066,,,,0.19778616726398468,,24
,,,0.9708563089370728,,,,0.19188468158245087,,25
,,,0.9377964735031128,,,,0.2542063295841217,,26
,,,0.9452477097511292,,,,0.22308559715747833,,27
,,,0.9496185779571533,,,,0.23028145730495453,,28
,,,0.12097915261983871,,,,0.20983266830444336,,29
,,0.9339953064918518,,,,0.2192142754793167,,4,229
0.9549599885940552,,,,0.2304917573928833,,,,4,229
,,,0.9718378782272339,,,,0.17751429975032806,,30
,,,0.9659411311149597,,,,0.17571888864040375,,31
,,,0.9653419852256775,,,,0.1904085874557495,,32
,,,0.9572156071662903,,,,0.19339130818843842,,33
,,,0.9625219106674194,,,,0.19127145409584045,,34
,,,0.12084836512804031,,,,0.22563114762306213,,35
,,0.943993091583252,,,,0.1866357922554016,,5,275
0.9570339918136597,,,,0.20004911720752716,,,,5,275
,0.97259521484375,,,,0.1581210345029831,,,6,299
,,,0.9695621132850647,,,,0.15237873792648315,,36
,,,0.9664456248283386,,,,0.16115784645080566,,37
,,,0.9576578140258789,,,,0.17128410935401917,,38
,,,0.9209694266319275,,,,0.2132597267627716,,39
,,,0.9348841905593872,,,,0.19730183482170105,,40
,,,0.12101652473211288,,,,0.1766509711742401,,41
,,0.9296871423721313,,,,0.1790173053741455,,6,321
0.9605386257171631,,,,0.17359450459480286,,,,6,321
,,,0.9790350198745728,,,,0.13041269779205322,,42
,,,0.9740226864814758,,,,0.14044812321662903,,43
,,,0.9528783559799194,,,,0.1636408567428589,,44
,,,0.9560459852218628,,,,0.1642007976770401,,45
,,,0.9606186151504517,,,,0.164871945977211,,46
,,,0.1201433464884758,,,,0.17906615138053894,,47
,,0.9439256191253662,,,,0.153357595205307,,7,367
0.9613008499145508,,,,0.15393425524234772,,,,7,367
,0.9633228778839111,,,,0.13555637001991272,,,8,399
,,,0.9786438941955566,,,,0.11843229830265045,,48
,,,0.9709908366203308,,,,0.12522900104522705,,49
,,,0.9660719037055969,,,,0.1349998563528061,,50
,,,0.9579592347145081,,,,0.14512641727924347,,51
,,,0.9629117846488953,,,,0.1446586698293686,,52
,,,0.12084712088108063,,,,0.14876289665699005,,53
,,0.94666987657547,,,,0.13405689597129822,,8,413
0.9656612277030945,,,,0.13571812212467194,,,,8,413
,,,0.9766546487808228,,,,0.10605206340551376,,54
,,,0.9794685244560242,,,,0.1020154058933258,,55
,,,0.9740450978279114,,,,0.11500252038240433,,56
,,,0.9584276080131531,,,,0.13235142827033997,,57
,,,0.9681832194328308,,,,0.12687711417675018,,58
,,,0.12063411623239517,,,,0.15069489181041718,,59
,,0.9506065845489502,,,,0.11729470640420914,,9,459
0.9677020907402039,,,,0.11946918815374374,,,,9,459
,0.9739840626716614,,,,0.10520092397928238,,,10,499
,,,0.9712250232696533,,,,0.10548999905586243,,60
,,,0.9586580395698547,,,,0.1316666156053543,,61
,,,0.9621943235397339,,,,0.12587539851665497,,62
,,,0.9427540302276611,,,,0.16449850797653198,,63
,,,0.9561643004417419,,,,0.14227372407913208,,64
,,,0.12214256078004837,,,,0.09153696894645691,,65
,,0.9378075003623962,,,,0.1329261213541031,,10,505
0.9697257876396179,,,,0.10799110680818558,,,,10,505
,,,0.9617047905921936,,,,0.13121239840984344,,66
,,,0.9668279886245728,,,,0.11233671754598618,,67
,,,0.9474911093711853,,,,0.17275066673755646,,68
,,,0.9641873240470886,,,,0.11993132531642914,,69
,,,0.9496397972106934,,,,0.14559142291545868,,70
,,,0.10912338644266129,,,,0.3441057801246643,,71
,,0.9372666478157043,,,,0.14143136143684387,,11,551
0.9649208784103394,,,,0.11143507063388824,,,,11,551
,,,0.978547990322113,,,,0.08915897458791733,,72
,,,0.983247697353363,,,,0.07590007781982422,,73
,,,0.9762647747993469,,,,0.09387744218111038,,74
,,,0.9748560190200806,,,,0.09883617609739304,,75
,,,0.9694687128067017,,,,0.1062282845377922,,76
